夏橙,2.00,2.50,3.00,柑橘类,斤,2021-07-11
伦晚,2.50,2.75,3.00,柑橘类,斤,2021-07-11
油桃,1.20,2.60,4.00,桃李杏类,斤,2021-07-11
蟠桃,3.50,4.50,5.50,桃李杏类,斤,2021-07-11
水蜜桃,7.00,8.00,9.00,桃李杏类,斤,2021-07-11
黄油桃,2.50,3.25,4.00,桃李杏类,斤,2021-07-11
黄毛桃,2.50,3.25,4.00,桃李杏类,斤,2021-07-11
突围,1.20,1.60,2.00,桃李杏类,斤,2021-07-11
京红桃,2.00,3.00,4.00,桃李杏类,斤,2021-07-11
黄油蟠,5.00,5.50,6.00,桃李杏类,斤,2021-07-11
沙红桃,1.40,1.70,2.00,桃李杏类,斤,2021-07-11
猕猴桃（海沃德）,2.50,2.75,3.00,桃李杏类,斤,2021-07-11
李子,1.00,3.00,5.00,桃李杏类,斤,2021-07-11
杏梅,2.00,3.00,4.00,桃李杏类,斤,2021-07-11
串红杏,1.00,1.25,1.50,桃李杏类,斤,2021-07-11
无籽小号-大号,1.20,1.30,1.40,西瓜类,斤,2021-07-11
麒麟、甜蜜蜜,1.60,2.00,2.40,西瓜类,斤,2021-07-11
特小风,2.00,2.15,2.30,西瓜类,斤,2021-07-11
L600吊秧瓜,1.50,2.00,2.50,西瓜类,斤,2021-07-11
甜王,0.80,0.95,1.10,西瓜类,斤,2021-07-11
杏梅,2.00,3.00,4.00,桃李杏类,斤,2021-07-09
串红杏,1.20,1.40,1.60,桃李杏类,斤,2021-07-09
无籽小号-大号,1.20,1.30,1.40,西瓜类,斤,2021-07-09
麒麟、甜蜜蜜,1.60,2.00,2.40,西瓜类,斤,2021-07-09
特小风,2.00,2.15,2.30,西瓜类,斤,2021-07-09
L600吊秧瓜,1.50,2.00,2.50,西瓜类,斤,2021-07-09
甜王,0.80,0.95,1.10,西瓜类,斤,2021-07-09
硒沙瓜,1.20,1.30,1.40,西瓜类,斤,2021-07-09
蜜童,1.40,1.60,1.80,西瓜类,斤,2021-07-09
墨童西瓜,1.40,1.55,1.70,西瓜类,斤,2021-07-09
国产香蕉,2.00,2.40,2.80,香蕉类,斤,2021-07-09
南美、菲律宾香蕉,3.00,3.25,3.50,香蕉类,斤,2021-07-09
泰国香蕉（帝王蕉）,8.00,8.50,9.00,香蕉类,斤,2021-07-09
皇帝(小米）香蕉,3.00,3.25,3.50,香蕉类,斤,2021-07-09
晓蜜25号,1.80,2.00,2.20,甜瓜类,斤,2021-07-09
黄金瓜／金蜜,1.60,1.70,1.80,甜瓜类,斤,2021-07-09
玉菇,1.50,1.75,2.00,甜瓜类,斤,2021-07-09
网纹,2.50,3.00,3.50,甜瓜类,斤,2021-07-09
西洲蜜,1.40,1.60,1.80,甜瓜类,斤,2021-07-09
24白糖罐,1.50,1.75,2.00,甜瓜类,斤,2021-07-09
木瓜,3.00,3.15,3.30,其他类,斤,2021-07-10
柠檬,3.50,3.75,4.00,其他类,斤,2021-07-10
大白菜,0.25,0.30,0.35,新,斤,2021-07-10
娃娃菜,0.60,0.65,0.70,大冀新,斤,2021-07-10
小白菜,1.00,1.20,1.40,普通,斤,2021-07-10
芹菜,0.80,0.90,1.00,冀,斤,2021-07-10
西芹,1.60,1.80,2.00,普通,斤,2021-07-10
菠菜,1.50,1.75,2.00,冀蒙,斤,2021-07-10
莴笋,0.60,0.80,1.00,普通,斤,2021-07-10
团生菜,1.00,1.30,1.60,毛|净,斤,2021-07-10
圆白菜,0.50,0.55,0.60,冀,斤,2021-07-10
紫甘蓝,0.60,0.65,0.70,冀,斤,2021-07-10
散叶生菜,2.00,2.25,2.50,京冀,斤,2021-07-10
油菜,1.00,1.25,1.50,京冀,斤,2021-07-10
香菜,4.50,5.00,5.50,冀,斤,2021-07-10
茴香,2.00,2.50,3.00,冀,斤,2021-07-10
韭菜,1.00,1.25,1.50,普通,斤,2021-07-10
韭菜苔,3.50,3.65,3.80,普通,斤,2021-07-10
苦菊,3.00,3.25,3.50,辽,斤,2021-07-10
油麦菜,2.00,2.50,3.00,京,斤,2021-07-10
姜,3.00,4.25,5.50,姜头整,斤,2021-07-10
大蒜,2.50,3.00,3.50,普通,斤,2021-07-10
新蒜,2.50,2.75,3.00,泥,斤,2021-07-10
蒜米,3.20,3.50,3.80,普通,斤,2021-07-10
大葱,0.60,0.70,0.80,冀鲁,斤,2021-07-10
小葱,1.30,1.40,1.50,普通,斤,2021-07-10
蒜苗,2.00,3.50,5.00,苏鲁,斤,2021-07-10
蒜黄,6.00,6.50,7.00,冀,斤,2021-07-10
青蒜,1.40,1.60,1.80,冀,斤,2021-07-10
平菇,2.00,2.75,3.50,小叶,斤,2021-07-10
香菇,4.00,4.50,5.00,普通,斤,2021-07-10
白玉菇,3.00,3.50,4.00,普通,斤,2021-07-10
口蘑,9.00,9.50,10.00,普通,斤,2021-07-10
杏鲍菇,2.00,2.50,3.00,普通,斤,2021-07-10
金针菇,1.50,2.00,2.50,普通,斤,2021-07-10
芦荟,6.00,6.50,7.00,特菜,斤,2021-07-10
百合,30.00,31.00,32.00,特菜,斤,2021-07-10
香椿,15.00,16.50,18.00,特菜,斤,2021-07-10
红彩椒黄,4.00,4.50,5.00,特菜,斤,2021-07-10
菊苣,10.00,10.50,11.00,特菜,斤,2021-07-10
硒沙瓜,1.20,1.30,1.40,西瓜类,斤,2021-07-11
蜜童,1.40,1.60,1.80,西瓜类,斤,2021-07-11
墨童西瓜,1.40,1.55,1.70,西瓜类,斤,2021-07-11
国产香蕉,2.00,2.40,2.80,香蕉类,斤,2021-07-11
南美、菲律宾香蕉,3.00,3.25,3.50,香蕉类,斤,2021-07-11
泰国香蕉（帝王蕉）,8.00,8.50,9.00,香蕉类,斤,2021-07-11
皇帝(小米）香蕉,3.00,3.25,3.50,香蕉类,斤,2021-07-11
晓蜜25号,1.80,2.00,2.20,甜瓜类,斤,2021-07-11
黄金瓜／金蜜,1.60,1.70,1.80,甜瓜类,斤,2021-07-11
玉菇,1.50,1.75,2.00,甜瓜类,斤,2021-07-11
网纹,2.50,3.00,3.50,甜瓜类,斤,2021-07-11
西洲蜜,1.40,1.60,1.80,甜瓜类,斤,2021-07-11
24白糖罐,1.50,1.75,2.00,甜瓜类,斤,2021-07-11
羊角蜜,2.00,2.50,3.00,甜瓜类,斤,2021-07-11
白条猪（瘦）,11.00,11.00,11.00,猪肉类,斤,2021-07-11
白条猪（肥）,9.00,9.00,9.00,猪肉类,斤,2021-07-11
前臀尖（瘦）,9.50,10.00,10.50,猪肉类,斤,2021-07-11
前臀尖（肥）,8.50,9.00,9.50,猪肉类,斤,2021-07-11
后臀尖（瘦）,9.50,10.00,10.50,猪肉类,斤,2021-07-11
后臀尖（肥）,8.50,9.00,9.50,猪肉类,斤,2021-07-11
羊腰窝,36.00,36.00,36.00,羊肉类,斤,2021-07-10
羊肉片,36.00,37.00,38.00,羊肉类,斤,2021-07-10
羊腰子（挂油）,15.00,15.50,16.00,羊肉类,个,2021-07-10
羊蝎子,15.00,15.50,16.00,羊肉类,斤,2021-07-10
羊蝎子（精品）,26.00,26.50,27.00,羊肉类,斤,2021-07-10
羊排骨,26.00,26.00,26.00,羊肉类,斤,2021-07-10
羊尾巴油,9.00,9.00,9.00,羊肉类,斤,2021-07-10
羊小腿（羊棒）,24.00,24.00,24.00,羊肉类,斤,2021-07-10
羊腱子,47.00,47.00,47.00,羊肉类,斤,2021-07-10
羊上脑,35.00,35.00,35.00,羊肉类,斤,2021-07-10
羊骨头,10.00,10.50,11.00,羊肉类,斤,2021-07-10
羊腩,30.00,30.00,30.00,羊肉类,斤,2021-07-10
羊里脊,33.00,34.00,35.00,羊肉类,斤,2021-07-10
淘汰鸡（干净膛）,10.00,10.00,10.00,禽肉类,斤,2021-07-10
